date,timestamp,open,high,low,close,volume
2025-05-06 16:47:00,1746550020,167.4,167.57,167.4,167.46,6.574
2025-05-06 16:48:00,1746550080,167.45,167.56,167.45,167.45,0.024
2025-05-06 16:49:00,1746550140,167.46,167.51,167.33,167.33,13.257
2025-05-06 16:50:00,1746550200,167.25,167.27,166.75,166.75,972.052
2025-05-06 16:51:00,1746550260,166.87,166.99,166.87,166.89,53.546
2025-05-06 16:52:00,1746550320,166.88,167.34,166.88,167.34,140.74
2025-05-06 16:53:00,1746550380,167.31,167.31,167.29,167.29,2.008
2025-05-06 16:54:00,1746550440,167.37,167.53,167.37,167.46,21.857
2025-05-06 16:55:00,1746550500,167.44,167.49,167.21,167.21,21.019
2025-05-06 16:56:00,1746550560,167.16,167.18,166.95,166.95,11.929
2025-05-06 16:57:00,1746550620,166.97,167.03,166.97,167.03,0.014
2025-05-06 16:58:00,1746550680,167.02,167.06,166.92,166.95,53.635
2025-05-06 16:59:00,1746550740,166.94,166.94,166.85,166.94,31.933
2025-05-06 17:00:00,1746550800,166.88,167.15,166.88,167.05,32.638
2025-05-06 17:01:00,1746550860,167.11,167.24,167.08,167.24,5.413
2025-05-06 17:02:00,1746550920,167.32,167.86,167.24,167.86,114.84
2025-05-06 17:03:00,1746550980,167.77,167.89,167.7,167.8,0.069
2025-05-06 17:04:00,1746551040,167.75,167.75,167.05,167.05,201.642
2025-05-06 17:05:00,1746551100,167.06,167.91,167.06,167.84,51.33
2025-05-06 17:06:00,1746551160,167.78,167.85,167.4,167.4,94.902
2025-05-06 17:07:00,1746551220,167.4,167.63,167.4,167.56,123.309
2025-05-06 17:08:00,1746551280,167.62,167.8,167.56,167.79,15.513
2025-05-06 17:09:00,1746551340,167.84,167.95,167.74,167.74,35.23
2025-05-06 17:10:00,1746551400,167.76,168.01,167.66,168.01,57.681
2025-05-06 17:11:00,1746551460,168.04,168.15,167.65,167.78,227.926
2025-05-06 17:12:00,1746551520,167.75,167.83,167.61,167.83,36.289
2025-05-06 17:13:00,1746551580,167.85,167.9,167.85,167.9,2.603
2025-05-06 17:14:00,1746551640,167.95,167.95,167.61,167.61,2.055
2025-05-06 17:15:00,1746551700,167.49,168.08,167.47,168.0,8.746
2025-05-06 17:16:00,1746551760,167.94,168.12,167.94,168.12,23.251
2025-05-06 17:17:00,1746551820,168.06,168.26,168.01,168.26,22.446
2025-05-06 17:18:00,1746551880,168.14,168.14,167.98,167.99,1.094
2025-05-06 17:19:00,1746551940,168.04,168.43,168.04,168.36,243.432
2025-05-06 17:20:00,1746552000,168.49,168.7,168.36,168.44,123.276
2025-05-06 17:21:00,1746552060,168.42,168.49,168.23,168.34,49.99
2025-05-06 17:22:00,1746552120,168.36,168.5,168.15,168.34,76.013
2025-05-06 17:23:00,1746552180,168.22,168.34,168.09,168.12,38.649
2025-05-06 17:24:00,1746552240,168.17,168.53,168.17,168.53,30.447
2025-05-06 17:25:00,1746552300,168.57,168.71,168.54,168.57,45.879
2025-05-06 17:26:00,1746552360,168.63,168.9,168.59,168.9,50.493
2025-05-06 17:27:00,1746552420,168.94,169.33,168.94,169.19,44.418
2025-05-06 17:28:00,1746552480,169.23,169.25,169.0,169.18,141.445
2025-05-06 17:29:00,1746552540,169.13,169.22,169.07,169.07,19.553
2025-05-06 17:30:00,1746552600,169.07,169.14,168.91,168.91,12.309
2025-05-06 17:31:00,1746552660,168.83,169.09,168.8,168.94,98.9
