date,timestamp,open,high,low,close,volume
2025-05-04 18:27:00,1746383220,1829.6,1829.61,1828.84,1829.43,6.98420447
2025-05-04 18:28:00,1746383280,1829.05,1829.42,1828.85,1828.89,23.76602362
2025-05-04 18:29:00,1746383340,1828.88,1829.42,1828.58,1829.42,9.48874498
2025-05-04 18:30:00,1746383400,1829.42,1830.72,1829.37,1830.72,17.69786279
2025-05-04 18:31:00,1746383460,1830.43,1831.02,1830.34,1830.81,14.40741793
2025-05-04 18:32:00,1746383520,1830.81,1830.81,1830.28,1830.63,27.93336304
2025-05-04 18:33:00,1746383580,1830.48,1830.81,1829.51,1829.51,11.88409925
2025-05-04 18:34:00,1746383640,1829.51,1829.52,1828.4,1828.41,4.11139899
2025-05-04 18:35:00,1746383700,1828.41,1829.07,1827.76,1828.49,6.52228348
2025-05-04 18:36:00,1746383760,1828.37,1828.45,1828.04,1828.35,7.10952971
2025-05-04 18:37:00,1746383820,1828.42,1828.45,1827.78,1828.17,8.43316515
2025-05-04 18:38:00,1746383880,1828.07,1828.09,1827.5,1827.63,9.65079698
2025-05-04 18:39:00,1746383940,1827.58,1827.67,1827.09,1827.09,5.31566117
2025-05-04 18:40:00,1746384000,1827.1,1828.16,1827.09,1827.96,44.69464402
2025-05-04 18:41:00,1746384060,1827.97,1828.6,1827.9,1828.6,4.60994561
2025-05-04 18:42:00,1746384120,1828.57,1828.62,1827.96,1828.02,9.39449252
2025-05-04 18:43:00,1746384180,1828.02,1828.57,1827.86,1828.23,3.96835125
2025-05-04 18:44:00,1746384240,1828.41,1828.45,1827.73,1828.16,21.3554042
2025-05-04 18:45:00,1746384300,1828.22,1828.29,1826.83,1827.11,6.57997404
2025-05-04 18:46:00,1746384360,1827.28,1827.78,1826.97,1827.54,8.80306527
2025-05-04 18:47:00,1746384420,1827.71,1828.64,1827.71,1828.11,8.69828639
2025-05-04 18:48:00,1746384480,1828.25,1828.3,1826.38,1826.83,22.47178176
2025-05-04 18:49:00,1746384540,1826.7,1826.71,1826.06,1826.18,5.15563827
2025-05-04 18:50:00,1746384600,1826.08,1826.23,1825.15,1826.2,48.77275789
2025-05-04 18:51:00,1746384660,1826.07,1826.49,1825.96,1826.28,4.01030124
2025-05-04 18:52:00,1746384720,1826.11,1827.05,1826.1,1826.63,13.56518992
2025-05-04 18:53:00,1746384780,1826.63,1827.15,1826.51,1827.15,7.36589938
2025-05-04 18:54:00,1746384840,1827.15,1827.43,1826.97,1827.11,4.35045226
2025-05-04 18:55:00,1746384900,1827.06,1828.08,1826.95,1828.07,14.63498207
2025-05-04 18:56:00,1746384960,1828.08,1828.13,1827.23,1827.36,10.47785993
2025-05-04 18:57:00,1746385020,1827.22,1827.36,1826.76,1826.76,4.25815422
2025-05-04 18:58:00,1746385080,1826.7,1827.21,1826.53,1827.0,4.24387343
2025-05-04 18:59:00,1746385140,1826.78,1826.78,1826.04,1826.06,2.01147573
2025-05-04 19:00:00,1746385200,1826.12,1826.24,1825.62,1825.69,6.69095052
2025-05-04 19:01:00,1746385260,1825.83,1826.28,1825.69,1826.13,8.67390346
2025-05-04 19:02:00,1746385320,1826.22,1826.49,1825.44,1825.45,14.43047423
2025-05-04 19:03:00,1746385380,1825.57,1825.84,1825.01,1825.63,39.13436301
2025-05-04 19:04:00,1746385440,1825.51,1826.62,1825.25,1826.52,17.50717444
2025-05-04 19:05:00,1746385500,1826.61,1828.11,1826.6,1828.11,9.64872363
2025-05-04 19:06:00,1746385560,1828.1,1828.1,1827.33,1827.41,3.32665263
2025-05-04 19:07:00,1746385620,1827.54,1828.03,1827.26,1828.01,13.7861133
2025-05-04 19:08:00,1746385680,1828.0,1828.28,1827.84,1828.1,8.32001978
2025-05-04 19:09:00,1746385740,1828.08,1828.85,1827.6,1828.85,9.020844
2025-05-04 19:10:00,1746385800,1828.84,1828.86,1828.2,1828.2,13.55768919
2025-05-04 19:11:00,1746385860,1828.2,1828.2,1826.81,1827.6,50.06496096
2025-05-04 19:12:00,1746385920,1827.59,1828.25,1827.45,1828.14,14.77645635
2025-05-04 19:13:00,1746385980,1828.13,1828.47,1826.85,1827.06,15.13053923
2025-05-04 19:14:00,1746386040,1826.96,1827.25,1826.32,1826.32,2.32703037
2025-05-04 19:15:00,1746386100,1826.31,1826.31,1825.59,1825.62,11.95752691
2025-05-04 19:16:00,1746386160,1825.86,1826.01,1825.18,1826.01,42.05992924
2025-05-04 19:17:00,1746386220,1825.9,1825.9,1825.33,1825.52,8.60417066
2025-05-04 19:18:00,1746386280,1825.46,1826.66,1825.32,1826.53,10.1196797
2025-05-04 19:19:00,1746386340,1826.45,1826.92,1825.91,1826.46,9.29585097
2025-05-04 19:20:00,1746386400,1826.28,1826.76,1826.18,1826.18,9.71787289
2025-05-04 19:21:00,1746386460,1826.19,1826.49,1825.9,1826.41,3.25695322
2025-05-04 19:22:00,1746386520,1826.29,1827.47,1825.63,1827.44,75.70919084
2025-05-04 19:23:00,1746386580,1827.17,1827.31,1826.64,1827.24,4.17506723
2025-05-04 19:24:00,1746386640,1827.48,1828.34,1827.48,1828.08,2.54496451
2025-05-04 19:25:00,1746386700,1828.17,1828.49,1827.84,1828.32,11.13893012
2025-05-04 19:26:00,1746386760,1828.23,1828.9,1828.22,1828.66,3.54072196
2025-05-04 19:27:00,1746386820,1828.61,1828.88,1828.31,1828.54,8.48631519
2025-05-04 19:28:00,1746386880,1828.34,1828.52,1827.99,1828.24,7.60837036
2025-05-04 19:29:00,1746386940,1828.24,1828.37,1827.99,1828.27,3.75871272
2025-05-04 19:30:00,1746387000,1828.26,1828.71,1827.87,1828.27,6.50470975
2025-05-04 19:31:00,1746387060,1828.12,1828.88,1827.81,1828.5,46.88246067
2025-05-04 19:32:00,1746387120,1828.63,1829.0,1828.39,1828.99,10.21447629
2025-05-04 19:33:00,1746387180,1829.0,1830.15,1829.0,1830.15,15.71307223
2025-05-04 19:34:00,1746387240,1830.15,1830.29,1829.85,1830.16,32.28285714
2025-05-04 19:35:00,1746387300,1830.0,1830.79,1829.99,1830.64,7.10480795
2025-05-04 19:36:00,1746387360,1830.64,1831.0,1830.52,1830.98,6.29346076
2025-05-04 19:37:00,1746387420,1830.98,1831.04,1830.34,1830.58,24.99243104
2025-05-04 19:38:00,1746387480,1830.6,1830.81,1830.26,1830.32,24.04858399
2025-05-04 19:39:00,1746387540,1830.35,1830.9,1830.35,1830.38,28.64857031
2025-05-04 19:40:00,1746387600,1830.37,1830.99,1830.36,1830.8,4.76678758
2025-05-04 19:41:00,1746387660,1830.82,1830.83,1830.57,1830.71,7.70285114
2025-05-04 19:42:00,1746387720,1830.73,1831.17,1830.54,1830.62,30.68521519
2025-05-04 19:43:00,1746387780,1830.62,1830.83,1830.54,1830.8,8.5839871
2025-05-04 19:44:00,1746387840,1830.79,1831.11,1830.79,1831.03,11.62467667
2025-05-04 19:45:00,1746387900,1830.92,1831.47,1830.91,1831.08,73.4634804
2025-05-04 19:46:00,1746387960,1831.06,1831.41,1830.09,1830.09,33.52923699
2025-05-04 19:47:00,1746388020,1830.1,1830.14,1828.79,1829.24,47.3306626
2025-05-04 19:48:00,1746388080,1829.45,1829.87,1828.95,1829.21,8.76999587
2025-05-04 19:49:00,1746388140,1829.21,1830.03,1829.2,1829.8,18.39589942
2025-05-04 19:50:00,1746388200,1829.79,1829.79,1828.71,1828.84,18.81649404
2025-05-04 19:51:00,1746388260,1828.68,1828.68,1828.08,1828.21,21.11544176
2025-05-04 19:52:00,1746388320,1828.25,1828.74,1828.25,1828.39,8.51832834
2025-05-04 19:53:00,1746388380,1828.39,1829.0,1828.39,1828.75,11.13427056
2025-05-04 19:54:00,1746388440,1828.75,1828.75,1828.08,1828.57,12.13784799
2025-05-04 19:55:00,1746388500,1828.39,1828.78,1828.08,1828.75,27.97886065
2025-05-04 19:56:00,1746388560,1828.78,1828.78,1828.3,1828.52,19.10309282
2025-05-04 19:57:00,1746388620,1828.43,1828.69,1828.22,1828.69,7.3019909
2025-05-04 19:58:00,1746388680,1828.64,1829.07,1828.51,1828.91,7.69555337
2025-05-04 19:59:00,1746388740,1828.92,1828.95,1828.54,1828.89,10.94883123
